name,category,price,updated_at
Laptop Pro 15,Electronics,1299.99,2026-01-15T10:30:00Z
Wireless Mouse,Electronics,29.99,2026-01-15T10:30:00Z
USB-C Hub,Electronics,49.99,2026-01-16T08:00:00Z
Office Chair,Furniture,299.99,2026-01-14T14:20:00Z
Standing Desk,Furniture,549.99,2026-01-14T14:20:00Z
Desk Lamp,Furniture,45.99,2026-01-17T09:15:00Z
Python Cookbook,Books,39.99,2026-01-13T11:00:00Z
Clean Code,Books,44.99,2026-01-13T11:00:00Z
Coffee Maker,Kitchen,89.99,2026-01-18T16:45:00Z
Blender Pro,Kitchen,129.99,2026-01-18T16:45:00Z
